Veckodag,Öppnar,Stänger
Måndag,8:00,21:00
Tisdag,8:00,21:00
Onsdag,8:00,21:00
Torsdag,8:00,21:00
Fredag,8:00,21:00
Lördag,11:00,18:00
Söndag,11:00,18:00
